frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39v2_pattern
265,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
266,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
267,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
268,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
269,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
270,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
271,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
272,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
273,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
274,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
275,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True,FOUNTAIN_3+
