frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
226,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
227,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
228,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
229,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
230,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
231,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
232,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
233,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
234,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
235,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
236,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
237,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
238,0,1,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
239,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
240,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
241,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
242,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
243,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
244,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
245,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
246,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
247,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
248,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
249,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
250,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
251,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
252,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
253,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
254,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
255,0,1,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
256,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
257,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
258,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
259,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
260,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
261,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
262,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
263,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
264,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
265,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
266,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
267,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
268,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
269,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
270,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
271,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
272,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
273,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
274,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
275,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
276,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
277,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
278,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
279,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
280,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
281,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
282,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
283,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
284,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
285,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
286,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
287,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
288,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
289,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
290,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
291,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
292,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
293,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
294,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
295,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
296,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
