frame,pattern,confidence,new_pattern
574,MIXED_3+,0.704,MIXED_3+
575,MIXED_3+,0.704,MIXED_3+
576,MIXED_3+,0.704,MIXED_3+
577,MIXED_3+,0.704,MIXED_3+
578,MIXED_3+,0.704,MIXED_3+
579,TWO_BALL,0.602,TWO_BALL
580,TWO_BALL,0.602,TWO_BALL
581,TWO_BALL,0.602,TWO_BALL
582,TWO_BALL,0.602,TWO_BALL
583,SINGLE_BALL,0.645,SINGLE_BALL
584,SINGLE_BALL,0.645,SINGLE_BALL
585,SINGLE_BALL,0.645,SINGLE_BALL
586,SINGLE_BALL,0.645,SINGLE_BALL
587,SINGLE_BALL,0.645,SINGLE_BALL
588,SINGLE_BALL,0.645,SINGLE_BALL
589,SINGLE_BALL,0.645,SINGLE_BALL
590,SINGLE_BALL,0.645,SINGLE_BALL
591,TWO_BALL,0.602,TWO_BALL
592,TWO_BALL,0.602,TWO_BALL
593,MIXED_3+,0.696,MIXED_3+
594,MIXED_3+,0.696,MIXED_3+
595,MIXED_3+,0.696,MIXED_3+
596,MIXED_3+,0.696,MIXED_3+
597,MIXED_3+,0.696,MIXED_3+
598,MIXED_3+,0.696,MIXED_3+
599,TWO_BALL,0.602,TWO_BALL
600,TWO_BALL,0.602,TWO_BALL
601,TWO_BALL,0.602,TWO_BALL
602,TWO_BALL,0.602,TWO_BALL
603,TWO_BALL,0.602,TWO_BALL
604,TWO_BALL,0.602,TWO_BALL
605,TWO_BALL,0.602,TWO_BALL
606,TWO_BALL,0.602,TWO_BALL
607,TWO_BALL,0.602,TWO_BALL
608,TWO_BALL,0.602,TWO_BALL
609,SINGLE_BALL,0.645,SINGLE_BALL
610,SINGLE_BALL,0.645,SINGLE_BALL
611,SINGLE_BALL,0.645,SINGLE_BALL
