kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
adjacent_vshape,identical_balls_trick_000_018,57,62,5,12.52,26.954,V_DEEP,64.07,1.78,157.56,right,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,58,60,4,40.46,7.031,V_DEEP,,46.85,117.86,,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,58,61,27,25.57,7.789,V_DEEP,,31.32,211.93,,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,58,62,29,12.52,11.289,V_DEEP,,1.78,226.79,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,60,66,21,48.31,11.215,V_DEEP,436.11,56.26,489.28,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,61,63,5,24.97,6.34,V_DEEP,8.21,37.24,182.38,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,62,67,20,32.58,11.665,V_DEEP,22.19,228.42,290.75,right,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,62,68,22,24.72,4.667,V_DEEP,22.19,36.23,114.0,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,62,69,29,32.58,5.706,V_DEEP,22.19,75.57,72.86,right,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,63,67,23,64.92,3.57,V_SHALLOW,63.06,228.42,346.63,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,63,68,25,34.83,8.014,V_DEEP,63.06,36.23,181.87,left,right,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,64,67,4,59.71,6.364,V_SHALLOW,59.03,228.42,465.97,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,66,67,3,38.32,6.048,V_DEEP,32.65,228.42,210.32,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,69,70,18,37.83,5.439,V_DEEP,44.29,197.05,172.3,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,69,72,18,26.14,6.064,V_DEEP,44.29,16.95,22.27,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,69,71,18,20.36,15.447,V_DEEP,44.29,18.59,177.29,left,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,70,73,4,21.49,8.735,V_DEEP,33.94,51.71,199.1,left,right,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,70,75,20,22.21,3.341,V_DEEP,33.94,71.05,169.99,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,72,75,20,7.19,42.643,V_DEEP,53.17,71.05,466.09,right,left,False,,True,True,True,True,False,True
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,5,11,19,9.91,20.568,V_DEEP,17.76,120.71,194.14,left,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,5,12,27,17.36,9.124,V_DEEP,17.76,48.63,126.5,left,right,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,6,9,17,8.83,10.715,V_DEEP,7.33,10.08,91.72,right,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,6,10,20,8.62,21.774,V_DEEP,7.33,117.14,156.8,right,right,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,8,21,38.51,3.397,V_DEEP,,38.17,73.9,,right,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,19,11.39,13.734,V_DEEP,8.48,78.11,154.2,left,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,13,29,4.69,32.169,V_DEEP,2.24,18.7,85.66,right,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,15,30,13.56,13.73,V_DEEP,12.41,78.09,167.42,right,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,20,6.86,23.297,V_DEEP,1.07,78.09,124.9,left,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,16,30,6.86,19.558,V_DEEP,1.07,21.72,81.32,left,right,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,15,2,5.94,31.359,V_DEEP,16.22,78.09,171.41,right,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,25,24,4.56,21.365,V_DEEP,6.74,4.99,76.19,right,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,31,22,32.96,5.294,V_DEEP,27.49,50.19,138.06,right,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,30,22,20.68,6.974,V_DEEP,18.79,34.96,98.89,left,right,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,27,26,10.84,8.633,V_DEEP,10.58,,101.18,right,,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,25,28,10.42,8.167,V_DEEP,,4.99,87.85,,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,26,3,1.06,133.217,V_DEEP,3.01,33.66,73.55,left,right,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,27,17,1.06,24.88,V_DEEP,3.01,,36.91,left,,False,FALSE,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,28,25,1.06,173.333,V_DEEP,3.01,108.06,128.06,left,left,False,,False,False,False,False,False,False
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,34,20,9.9,11.771,V_DEEP,21.97,4.45,71.08,left,right,False,,False,False,False,False,False,False
