pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
SINGLE_BALL,0.674,agree,True,True,False,156,SINGLE_BALL,0.849,SINGLE_BALL,0.5,1,1
TWO_BALL,0.57,agree,True,True,False,157,TWO_BALL,0.639,TWO_BALL,0.5,1,2
TWO_BALL,0.57,agree,True,True,False,158,TWO_BALL,0.639,TWO_BALL,0.5,1,2
TWO_BALL,0.57,agree,True,True,False,159,TWO_BALL,0.639,TWO_BALL,0.5,1,2
TWO_BALL,0.57,agree,True,True,False,160,TWO_BALL,0.639,TWO_BALL,0.5,1,2
SINGLE_BALL,0.465,agree,True,False,False,161,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.465,agree,True,False,False,162,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.465,agree,True,False,False,163,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.465,agree,True,False,False,164,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
TWO_BALL,0.431,agree,True,False,False,165,TWO_BALL,0.363,TWO_BALL,0.5,1,2
FOUNTAIN_3+,0.63,v5_confident,True,False,True,166,MIXED_3+,0.385,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.431,agree,True,False,False,167,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,True,False,False,168,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,True,False,False,169,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,True,False,False,170,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,True,False,False,171,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,True,False,False,172,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,True,False,False,173,TWO_BALL,0.363,TWO_BALL,0.5,1,2
FOUNTAIN_3+,0.63,v5_confident,True,False,True,174,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,175,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,176,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,177,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,178,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,179,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
