frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
372,5,0,0,5,0.548,CASCADE_3+,0.548,0
373,5,0,0,5,0.548,CASCADE_3+,0.548,0
374,5,0,0,5,0.548,CASCADE_3+,0.548,0
375,5,0,0,5,0.548,CASCADE_3+,0.548,0
376,4,0,0,4,0.55,CASCADE_3+,0.55,0
377,4,0,0,4,0.55,CASCADE_3+,0.55,0
378,4,0,0,4,0.55,CASCADE_3+,0.55,0
379,4,0,0,4,0.55,CASCADE_3+,0.55,0
380,4,0,0,4,0.55,CASCADE_3+,0.55,0
381,5,0,0,5,0.548,CASCADE_3+,0.548,0
382,5,0,0,5,0.548,CASCADE_3+,0.548,0
383,5,0,0,5,0.548,CASCADE_3+,0.548,0
384,5,0,0,5,0.548,CASCADE_3+,0.548,0
385,5,0,0,5,0.548,CASCADE_3+,0.548,0
386,5,0,0,5,0.548,CASCADE_3+,0.548,0
387,5,0,0,5,0.548,CASCADE_3+,0.548,0
388,5,0,0,5,0.548,CASCADE_3+,0.548,0
389,5,0,0,5,0.548,CASCADE_3+,0.548,0
390,5,0,0,5,0.548,CASCADE_3+,0.548,0
391,5,0,0,5,0.548,CASCADE_3+,0.548,0
392,5,0,0,5,0.548,CASCADE_3+,0.548,0
393,5,0,0,5,0.548,CASCADE_3+,0.548,0
394,5,0,0,5,0.548,CASCADE_3+,0.548,0
395,5,0,0,5,0.548,CASCADE_3+,0.548,0
396,5,0,0,5,0.548,CASCADE_3+,0.548,0
397,5,0,0,5,0.548,CASCADE_3+,0.548,0
398,5,0,0,5,0.548,CASCADE_3+,0.548,0
399,5,0,0,5,0.548,CASCADE_3+,0.548,0
400,5,0,0,5,0.548,CASCADE_3+,0.548,0
401,5,0,0,5,0.548,CASCADE_3+,0.548,0
402,5,0,0,5,0.548,CASCADE_3+,0.548,0
403,5,0,0,5,0.548,CASCADE_3+,0.548,0
404,5,0,0,5,0.548,CASCADE_3+,0.548,0
405,5,0,0,5,0.548,CASCADE_3+,0.548,0
406,5,0,0,5,0.548,CASCADE_3+,0.548,0
407,5,0,0,5,0.548,CASCADE_3+,0.548,0
408,5,0,0,5,0.548,CASCADE_3+,0.548,0
409,5,0,0,5,0.548,CASCADE_3+,0.548,0
410,5,0,0,5,0.548,CASCADE_3+,0.548,0
411,5,0,0,5,0.548,CASCADE_3+,0.548,0
412,4,0,0,4,0.546,CASCADE_3+,0.546,0
413,4,0,0,4,0.546,CASCADE_3+,0.546,0
414,4,0,0,4,0.546,CASCADE_3+,0.546,0
415,4,0,0,4,0.546,CASCADE_3+,0.546,0
416,4,0,0,4,0.546,CASCADE_3+,0.546,0
417,4,0,0,4,0.546,CASCADE_3+,0.546,0
418,4,0,0,4,0.546,CASCADE_3+,0.546,0
419,4,0,0,4,0.546,CASCADE_3+,0.546,0
420,5,0,0,5,0.548,CASCADE_3+,0.548,0
421,5,0,0,5,0.548,CASCADE_3+,0.548,0
422,5,0,0,5,0.548,CASCADE_3+,0.548,0
423,5,0,0,5,0.548,CASCADE_3+,0.548,0
424,5,0,0,5,0.548,CASCADE_3+,0.548,0
425,5,0,0,5,0.548,CASCADE_3+,0.548,0
426,5,0,0,5,0.548,CASCADE_3+,0.548,0
427,4,0,0,4,0.546,CASCADE_3+,0.546,0
428,4,0,0,4,0.546,CASCADE_3+,0.546,0
429,4,0,0,4,0.546,CASCADE_3+,0.546,0
430,4,0,0,4,0.546,CASCADE_3+,0.546,0
431,4,0,0,4,0.546,CASCADE_3+,0.546,0
432,4,0,0,4,0.546,CASCADE_3+,0.546,0
433,4,0,0,4,0.546,CASCADE_3+,0.546,0
434,4,0,0,4,0.546,CASCADE_3+,0.546,0
435,4,0,0,4,0.546,CASCADE_3+,0.546,0
436,4,0,0,4,0.546,CASCADE_3+,0.546,0
437,4,0,0,4,0.546,CASCADE_3+,0.546,0
438,4,0,0,4,0.546,CASCADE_3+,0.546,0
439,4,0,0,4,0.546,CASCADE_3+,0.546,0
440,4,0,0,4,0.546,CASCADE_3+,0.546,0
441,4,0,0,4,0.546,CASCADE_3+,0.546,0
442,4,0,0,4,0.546,CASCADE_3+,0.546,0
443,4,0,0,4,0.546,CASCADE_3+,0.546,0
444,4,0,0,4,0.546,CASCADE_3+,0.546,0
445,5,0,0,5,0.538,CASCADE_3+,0.538,0
