video,stem,tid,first_frame,last_frame,n_pts,first_x,first_y,last_x,last_y,end_side,end_dist,end_slope,end_samples,end_pose_conf,start_side,start_dist,start_slope,start_samples,start_pose_conf
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,591,653,58,566.15,472.55,645.5,427.06,left,3.01,-4.323,5,0.611,right,13.87,5.28,5,0.611
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,606,749,122,626.01,456.67,634.6,480.49,left,21.97,3.134,5,0.256,left,4.99,8.773,5,0.256
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,656,717,57,577.61,398.77,624.45,475.01,left,11.72,0.944,5,0.159,right,33.66,12.32,5,0.159
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,670,670,1,617.72,402.76,617.72,402.76,,,,1,,,,,1,
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,678,738,53,604.31,305.8,565.31,474.79,right,20.37,1.791,5,0.26,left,108.06,12.316,5,0.26
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,701,761,48,610.39,382.74,542.97,479.62,right,13.57,-0.08,5,0.173,left,32.85,13.031,5,0.173
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,715,845,119,572.88,391.86,543.45,478.9,right,14.07,1.094,5,0.213,right,34.96,13.247,5,0.213
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,731,789,57,606.62,356.45,532.0,471.33,right,16.11,1.814,5,0.196,left,50.19,14.349,5,0.196
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,32,743,878,120,577.49,391.19,566.52,485.6,right,24.17,2.007,5,0.252,right,30.04,14.126,5,0.252
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,755,818,55,619.88,421.65,550.68,487.41,right,24.95,2.935,5,0.16,left,11.52,10.323,5,0.16
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,34,769,899,120,569.95,450.94,545.19,450.16,right,2.86,-0.498,5,0.224,right,4.45,9.056,5,0.224
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,800,862,55,579.41,408.78,639.51,482.54,left,23.14,2.337,5,0.162,right,23.3,11.204,5,0.162
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,36,825,899,64,578.14,445.47,617.92,391.06,left,33.22,6.017,5,0.684,right,10.11,10.379,5,0.684
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,37,854,899,44,580.47,435.61,645.68,298.18,left,123.03,-10.857,5,0.727,right,12.37,10.982,5,0.727
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,38,869,899,30,623.24,404.54,586.17,214.07,left,211.78,-1.887,5,0.643,left,16.76,11.956,5,0.643
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,39,878,882,3,677.72,385.88,680.57,415.68,left,19.28,0.379,3,0.548,left,18.69,0.379,3,0.548
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,40,883,899,17,579.8,416.02,611.8,234.76,left,187.04,4.443,5,0.732,right,19.59,11.938,5,0.732
