frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
318,4,0,0,4,4,2.76,2,CASCADE_3+_DETECTOR,0.7
319,4,0,0,4,4,1.89,2,CASCADE_3+_DETECTOR,0.7
320,4,0,0,4,4,2.11,2,CASCADE_3+_DETECTOR,0.7
321,4,0,0,4,4,0.96,2,CASCADE_3+_DETECTOR,0.7
322,4,0,0,4,4,1.05,2,CASCADE_3+_DETECTOR,0.7
323,4,0,0,4,4,0.22,2,CASCADE_3+_DETECTOR,0.7
324,4,0,0,4,4,1.32,2,CASCADE_3+_DETECTOR,0.7
325,4,0,0,4,4,0.88,2,CASCADE_3+_DETECTOR,0.7
326,4,0,0,4,4,1.27,2,CASCADE_3+_DETECTOR,0.7
327,4,0,0,4,4,3.89,2,CASCADE_3+_DETECTOR,0.7
328,3,0,0,3,4,0.31,2,CASCADE_3+_DETECTOR,0.7
329,4,0,0,4,5,1.47,2,CASCADE_3+_DETECTOR,0.7
330,4,0,0,4,5,2.72,2,CASCADE_3+_DETECTOR,0.7
331,4,0,0,4,4,2.68,2,CASCADE_3+_DETECTOR,0.7
332,4,0,0,4,4,3.23,2,CASCADE_3+_DETECTOR,0.7
333,4,0,0,4,4,2.9,2,CASCADE_3+_DETECTOR,0.7
334,4,0,0,4,4,2.33,2,CASCADE_3+_DETECTOR,0.7
335,4,0,0,4,4,2.38,2,CASCADE_3+_DETECTOR,0.7
336,4,0,0,4,4,2.88,2,CASCADE_3+_DETECTOR,0.7
337,4,0,0,4,4,3.37,2,CASCADE_3+_DETECTOR,0.7
338,4,0,0,4,4,3.34,2,CASCADE_3+_DETECTOR,0.7
339,5,0,0,5,5,1.44,2,CASCADE_3+_DETECTOR,0.7
340,5,0,0,5,5,2.45,2,CASCADE_3+_DETECTOR,0.7
341,5,0,0,5,5,2.27,2,CASCADE_3+_DETECTOR,0.7
342,5,0,0,5,5,2.33,2,CASCADE_3+_DETECTOR,0.7
343,5,0,0,5,5,2.63,2,CASCADE_3+_DETECTOR,0.7
344,5,0,0,5,5,2.27,2,CASCADE_3+_DETECTOR,0.7
345,5,0,0,5,5,3.0,2,CASCADE_3+_DETECTOR,0.7
