frame,L40v2,R40v2,h12_pattern,h12_conf
681,1,0,TWO_BALL,0.748
682,1,0,TWO_BALL,0.748
683,1,0,TWO_BALL,0.748
684,1,0,TWO_BALL,0.748
685,0,0,FOUNTAIN_3+,0.714
686,0,0,FOUNTAIN_3+,0.714
687,1,0,FOUNTAIN_3+,0.714
688,1,0,FOUNTAIN_3+,0.714
689,1,0,FOUNTAIN_3+,0.714
690,1,0,FOUNTAIN_3+,0.714
691,1,0,FOUNTAIN_3+,0.785
692,1,0,FOUNTAIN_3+,0.785
693,1,0,FOUNTAIN_3+,0.785
694,1,0,FOUNTAIN_3+,0.785
695,1,1,FOUNTAIN_3+,0.785
696,1,1,FOUNTAIN_3+,0.785
697,1,1,FOUNTAIN_3+,0.828
698,1,1,FOUNTAIN_3+,0.785
699,1,1,FOUNTAIN_3+,0.785
700,1,1,FOUNTAIN_3+,0.785
701,1,1,FOUNTAIN_3+,0.714
702,1,1,FOUNTAIN_3+,0.714
703,1,1,FOUNTAIN_3+,0.714
704,1,1,FOUNTAIN_3+,0.714
705,0,1,FOUNTAIN_3+,0.714
706,0,1,FOUNTAIN_3+,0.714
707,0,1,FOUNTAIN_3+,0.714
708,1,1,FOUNTAIN_3+,0.714
709,1,1,FOUNTAIN_3+,0.714
710,1,1,FOUNTAIN_3+,0.714
711,1,1,FOUNTAIN_3+,0.714
712,1,1,FOUNTAIN_3+,0.714
713,1,0,FOUNTAIN_3+,0.714
714,1,0,FOUNTAIN_3+,0.714
715,1,1,FOUNTAIN_3+,0.714
716,1,1,FOUNTAIN_3+,0.714
717,1,1,TWO_BALL,0.792
718,1,1,TWO_BALL,0.792
721,0,0,TWO_BALL,0.792
722,0,0,TWO_BALL,0.792
725,1,1,TWO_BALL,0.792
726,1,1,TWO_BALL,0.792
727,1,1,TWO_BALL,0.792
728,1,1,TWO_BALL,0.792
729,1,1,TWO_BALL,0.792
730,1,1,TWO_BALL,0.792
731,0,0,TWO_BALL,0.792
732,0,0,TWO_BALL,0.792
733,1,1,FOUNTAIN_3+,0.751
