frame,pattern,confidence,new_pattern
393,MIXED_3+,0.646,MIXED_3+
394,MIXED_3+,0.646,MIXED_3+
395,MIXED_3+,0.646,MIXED_3+
396,MIXED_3+,0.646,MIXED_3+
397,MIXED_3+,0.646,MIXED_3+
398,MIXED_3+,0.646,MIXED_3+
399,MIXED_3+,0.646,MIXED_3+
400,MIXED_3+,0.646,MIXED_3+
401,MIXED_3+,0.646,MIXED_3+
402,MIXED_3+,0.646,MIXED_3+
403,MIXED_3+,0.646,MIXED_3+
404,MIXED_3+,0.646,MIXED_3+
405,MIXED_3+,0.646,MIXED_3+
406,MIXED_3+,0.646,MIXED_3+
407,MIXED_3+,0.646,MIXED_3+
408,MIXED_3+,0.646,MIXED_3+
409,MIXED_3+,0.646,MIXED_3+
410,MIXED_3+,0.646,MIXED_3+
411,CASCADE_3+,0.646,CASCADE_3+
412,CASCADE_3+,0.638,CASCADE_3+
413,CASCADE_3+,0.638,CASCADE_3+
414,CASCADE_3+,0.638,CASCADE_3+
415,CASCADE_3+,0.638,CASCADE_3+
416,CASCADE_3+,0.638,CASCADE_3+
417,CASCADE_3+,0.638,CASCADE_3+
418,CASCADE_3+,0.638,CASCADE_3+
419,CASCADE_3+,0.638,CASCADE_3+
420,MIXED_3+,0.646,MIXED_3+
421,MIXED_3+,0.646,MIXED_3+
422,MIXED_3+,0.646,MIXED_3+
423,MIXED_3+,0.646,MIXED_3+
424,MIXED_3+,0.646,MIXED_3+
425,MIXED_3+,0.646,MIXED_3+
426,MIXED_3+,0.646,MIXED_3+
427,MIXED_3+,0.661,MIXED_3+
428,MIXED_3+,0.661,MIXED_3+
429,MIXED_3+,0.661,MIXED_3+
430,MIXED_3+,0.661,MIXED_3+
431,MIXED_3+,0.661,MIXED_3+
432,MIXED_3+,0.661,MIXED_3+
433,MIXED_3+,0.661,MIXED_3+
434,MIXED_3+,0.661,MIXED_3+
435,MIXED_3+,0.661,MIXED_3+
436,MIXED_3+,0.661,MIXED_3+
437,MIXED_3+,0.661,MIXED_3+
438,MIXED_3+,0.661,MIXED_3+
439,MIXED_3+,0.661,MIXED_3+
440,MIXED_3+,0.661,MIXED_3+
441,MIXED_3+,0.661,MIXED_3+
442,MIXED_3+,0.661,MIXED_3+
443,MIXED_3+,0.661,MIXED_3+
444,MIXED_3+,0.661,MIXED_3+
445,MIXED_3+,0.651,MIXED_3+
446,MIXED_3+,0.651,MIXED_3+
447,MIXED_3+,0.651,MIXED_3+
448,MIXED_3+,0.651,MIXED_3+
449,MIXED_3+,0.651,MIXED_3+
450,MIXED_3+,0.651,MIXED_3+
451,MIXED_3+,0.651,MIXED_3+
452,MIXED_3+,0.651,MIXED_3+
453,MIXED_3+,0.651,MIXED_3+
454,MIXED_3+,0.651,MIXED_3+
455,MIXED_3+,0.651,MIXED_3+
456,MIXED_3+,0.651,MIXED_3+
457,MIXED_3+,0.651,MIXED_3+
458,MIXED_3+,0.651,MIXED_3+
459,MIXED_3+,0.651,MIXED_3+
460,MIXED_3+,0.651,MIXED_3+
461,MIXED_3+,0.651,MIXED_3+
462,MIXED_3+,0.651,MIXED_3+
463,MIXED_3+,0.651,MIXED_3+
464,MIXED_3+,0.651,MIXED_3+
465,MIXED_3+,0.651,MIXED_3+
466,MIXED_3+,0.637,MIXED_3+
467,MIXED_3+,0.637,MIXED_3+
468,MIXED_3+,0.637,MIXED_3+
469,MIXED_3+,0.63,MIXED_3+
470,MIXED_3+,0.63,MIXED_3+
471,MIXED_3+,0.646,MIXED_3+
472,MIXED_3+,0.646,MIXED_3+
473,MIXED_3+,0.646,MIXED_3+
474,MIXED_3+,0.646,MIXED_3+
475,MIXED_3+,0.646,MIXED_3+
476,MIXED_3+,0.646,MIXED_3+
477,MIXED_3+,0.646,MIXED_3+
478,MIXED_3+,0.646,MIXED_3+
479,MIXED_3+,0.646,MIXED_3+
480,MIXED_3+,0.646,MIXED_3+
481,MIXED_3+,0.646,MIXED_3+
482,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
483,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
484,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
485,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
486,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
487,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
488,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
489,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
490,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
491,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
492,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
493,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
494,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
495,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
496,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
497,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
498,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
499,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
500,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
501,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
502,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
503,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
504,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
505,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
506,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
507,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
508,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
509,FOUNTAIN_3+,0.661,FOUNTAIN_LOW_CONF
510,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
511,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
512,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
513,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
514,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
515,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
516,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
517,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
518,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
519,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
520,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
521,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
522,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
523,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
524,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
525,FOUNTAIN_3+,0.651,FOUNTAIN_LOW_CONF
