frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
374,SINGLE_BALL,0.5,4,0,0,0,True,ok
375,SINGLE_BALL,0.5,4,0,0,0,True,ok
376,SINGLE_BALL,0.5,4,0,0,0,True,ok
377,SINGLE_BALL,0.5,4,0,0,0,True,ok
378,SINGLE_BALL,0.5,4,0,0,0,True,ok
379,SINGLE_BALL,0.5,4,0,0,0,True,ok
380,SINGLE_BALL,0.5,4,0,0,0,True,ok
381,SINGLE_BALL,0.5,4,0,0,0,True,ok
382,SINGLE_BALL,0.5,4,0,0,0,True,ok
391,SINGLE_BALL,0.5,4,0,0,0,True,ok
392,SINGLE_BALL,0.5,4,0,0,0,True,ok
393,SINGLE_BALL,0.5,4,0,0,0,True,ok
394,SINGLE_BALL,0.5,4,0,0,0,True,ok
395,SINGLE_BALL,0.5,4,0,0,0,True,ok
396,SINGLE_BALL,0.5,4,0,0,0,True,ok
397,SINGLE_BALL,0.5,4,0,0,0,True,ok
398,SINGLE_BALL,0.5,4,0,0,0,True,ok
399,TWO_BALL,0.5,4,0,0,0,True,ok
400,TWO_BALL,0.5,4,0,0,0,True,ok
401,TWO_BALL,0.5,4,0,0,0,True,ok
402,TWO_BALL,0.5,4,0,0,0,True,ok
403,TWO_BALL,0.5,4,0,0,0,True,ok
404,TWO_BALL,0.5,4,0,0,0,True,ok
405,TWO_BALL,0.5,4,0,0,0,True,ok
406,TWO_BALL,0.5,4,0,0,0,True,ok
407,TWO_BALL,0.5,4,0,0,0,True,ok
408,TWO_BALL,0.5,4,0,0,0,True,ok
409,TWO_BALL,0.5,4,0,0,0,True,ok
410,TWO_BALL,0.5,4,0,0,0,True,ok
411,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
412,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
413,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
414,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
415,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
416,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
