frame,h50_pattern,h50_confidence,h68_pattern,h43_rejected,h66_rejected,h68_rejected
404,MIXED_3+,0.646,MIXED_3+,no,no,no
405,MIXED_3+,0.646,MIXED_3+,no,no,no
406,MIXED_3+,0.646,MIXED_3+,no,no,no
407,MIXED_3+,0.646,MIXED_3+,no,no,no
408,MIXED_3+,0.646,MIXED_3+,no,no,no
409,MIXED_3+,0.646,MIXED_3+,no,no,no
410,MIXED_3+,0.646,MIXED_3+,no,no,no
411,CASCADE_3+,0.646,CASCADE_3+,no,no,no
412,CASCADE_3+,0.638,CASCADE_3+,no,no,no
413,CASCADE_3+,0.638,CASCADE_3+,no,no,no
414,CASCADE_3+,0.638,CASCADE_3+,no,no,no
415,CASCADE_3+,0.638,CASCADE_3+,no,no,no
416,CASCADE_3+,0.638,CASCADE_3+,no,no,no
417,CASCADE_3+,0.638,CASCADE_3+,no,no,no
418,CASCADE_3+,0.638,CASCADE_3+,no,no,no
419,CASCADE_3+,0.638,CASCADE_3+,no,no,no
420,MIXED_3+,0.646,MIXED_3+,no,no,no
421,MIXED_3+,0.646,MIXED_3+,no,no,no
422,MIXED_3+,0.646,MIXED_3+,no,no,no
423,MIXED_3+,0.646,MIXED_3+,no,no,no
424,MIXED_3+,0.646,MIXED_3+,no,no,no
425,MIXED_3+,0.646,MIXED_3+,no,no,no
426,MIXED_3+,0.646,MIXED_3+,no,no,no
427,MIXED_3+,0.661,MIXED_3+,no,no,no
