frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
313,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
314,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
315,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
316,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
317,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
318,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
319,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
320,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
321,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
322,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
323,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
324,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
325,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
326,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
327,4,0,1,4,0.642,MIXED_3+,0.642,MIXED_3+
328,3,0,0,3,0.628,MIXED_3+,0.628,MIXED_3+
329,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
330,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
331,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
332,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
333,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
334,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
335,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
336,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
337,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
338,4,0,0,4,0.64,MIXED_3+,0.64,MIXED_3+
339,5,0,1,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
340,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
341,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
342,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
343,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
344,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
345,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
346,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
347,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
348,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
349,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
350,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
351,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
352,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
353,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
354,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
355,5,0,0,5,0.649,FOUNTAIN_3+,0.649,FOUNTAIN_3+
