frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
159,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
160,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
161,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
162,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
163,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
164,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
165,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
166,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
167,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
168,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
169,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
170,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
171,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
172,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
173,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
174,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
175,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
176,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
177,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
178,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
179,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
180,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
181,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
182,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
183,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
184,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
185,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
186,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
187,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
188,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
189,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
190,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
191,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
192,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
193,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
194,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
195,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
196,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
197,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
198,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
199,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
200,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
201,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
202,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
203,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
204,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
205,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
206,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
207,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
208,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
209,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
210,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
211,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
212,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
213,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
214,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
215,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
216,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
217,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
218,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
219,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
220,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
221,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
222,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
223,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
224,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
225,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
226,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
227,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
228,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
229,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
230,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
231,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
232,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
233,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
234,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
235,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
236,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
237,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
238,0,1,4,CATCH,4,0,1,4,MIXED_3+,0.698,True,True,True,MIXED_3+,False
239,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
240,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
241,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
242,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
243,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
244,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
245,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+,False
