frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
366,0,0,1,0,0,SINGLE_BALL,0.5
367,0,0,1,0,0,SINGLE_BALL,0.5
368,0,0,1,0,0,SINGLE_BALL,0.5
369,0,0,1,0,0,SINGLE_BALL,0.5
370,0,0,1,0,0,SINGLE_BALL,0.5
371,0,0,1,0,0,SINGLE_BALL,0.5
372,0,0,1,0,0,SINGLE_BALL,0.5
373,0,0,1,0,0,SINGLE_BALL,0.5
374,0,0,1,0,0,SINGLE_BALL,0.5
375,0,0,1,0,0,SINGLE_BALL,0.5
376,0,0,1,0,0,SINGLE_BALL,0.5
377,0,0,1,0,0,SINGLE_BALL,0.5
378,0,0,1,0,0,SINGLE_BALL,0.5
379,0,0,1,0,0,SINGLE_BALL,0.5
380,0,0,1,0,0,SINGLE_BALL,0.5
381,0,0,1,0,0,SINGLE_BALL,0.5
382,0,0,1,0,0,SINGLE_BALL,0.5
383,0,0,0,0,0,NO_BALL,1.0
384,0,0,0,0,0,NO_BALL,1.0
385,0,0,0,0,0,NO_BALL,1.0
386,0,0,0,0,0,NO_BALL,1.0
387,0,0,0,0,0,NO_BALL,1.0
388,0,0,0,0,0,NO_BALL,1.0
389,0,0,0,0,0,NO_BALL,1.0
390,0,0,0,0,0,NO_BALL,1.0
391,0,0,1,0,0,SINGLE_BALL,0.5
392,0,0,1,0,0,SINGLE_BALL,0.5
393,0,0,1,0,0,SINGLE_BALL,0.5
394,0,0,1,0,0,SINGLE_BALL,0.5
395,0,0,1,0,0,SINGLE_BALL,0.5
396,0,0,1,0,0,SINGLE_BALL,0.5
397,0,0,1,0,0,SINGLE_BALL,0.5
398,0,0,1,0,0,SINGLE_BALL,0.5
399,0,0,2,0,0,TWO_BALL,0.5
400,0,0,2,0,0,TWO_BALL,0.5
401,0,0,2,1,0,TWO_BALL,0.5
402,0,0,2,0,0,TWO_BALL,0.5
403,0,0,2,0,0,TWO_BALL,0.5
404,0,0,2,0,0,TWO_BALL,0.5
405,0,0,2,1,0,TWO_BALL,0.5
406,0,0,2,0,0,TWO_BALL,0.5
407,0,0,2,1,0,TWO_BALL,0.5
408,0,0,2,0,0,TWO_BALL,0.5
409,0,0,2,0,0,TWO_BALL,0.5
410,0,0,2,0,0,TWO_BALL,0.5
411,0,0,3,0,0,MIXED_3+_UNCONFIRMED,0.3
412,0,0,3,1,0,MIXED_3+_UNCONFIRMED,0.3
413,0,0,3,1,0,MIXED_3+_UNCONFIRMED,0.3
414,0,0,3,1,0,MIXED_3+_UNCONFIRMED,0.3
415,0,0,3,1,0,MIXED_3+_UNCONFIRMED,0.3
416,0,0,3,0,0,MIXED_3+_UNCONFIRMED,0.3
417,0,0,3,1,0,MIXED_3+_UNCONFIRMED,0.3
418,0,0,3,0,0,MIXED_3+_UNCONFIRMED,0.3
