frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
226,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
227,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
228,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
229,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
230,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
231,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.316,True,False,False,SINGLE_BALL,False
232,0,0,3,THROW,3,0,1,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
233,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
234,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
235,0,1,2,CATCH,3,0,1,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+,False
236,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
237,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
238,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
239,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
240,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
241,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
242,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.637,True,False,False,TWO_BALL,False
243,0,0,3,THROW,3,0,1,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
244,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
245,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
246,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
247,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
248,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
249,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
250,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
251,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_REJECTED,True
252,1,0,2,CATCH,3,1,0,3,FOUNTAIN_3+,0.593,True,True,True,FOUNTAIN_3+,False
253,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.731,False,True,False,TWO_BALL,False
254,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.731,False,True,False,TWO_BALL,False
