frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
304,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
305,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
306,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
307,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
308,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
309,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
310,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
311,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
312,3,0,0,3,0.728,MIXED_3+,0.728,4,2,1,0.333,3.53
313,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
314,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
315,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
316,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
317,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
318,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
319,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
320,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
321,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
322,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
323,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
324,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
325,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
326,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
327,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
328,2,0,0,2,0.935,TWO_BALL,0.935,4,0,1,0.0,0.0
329,1,0,0,1,0.911,SINGLE_BALL,0.911,4,0,1,0.0,0.0
330,1,0,0,1,0.911,SINGLE_BALL,0.911,4,0,1,0.0,0.0
331,1,0,0,1,0.911,SINGLE_BALL,0.911,4,0,1,0.0,0.0
332,1,0,0,1,0.911,SINGLE_BALL,0.911,4,0,1,0.0,0.0
333,2,0,0,2,0.757,TWO_BALL,0.757,4,0,1,0.0,0.0
334,2,0,0,2,0.757,TWO_BALL,0.757,4,0,1,0.0,0.0
335,1,0,0,1,0.602,SINGLE_BALL,0.602,4,0,1,0.0,0.0
336,1,0,0,1,0.602,SINGLE_BALL,0.602,4,0,1,0.0,0.0
337,1,0,0,1,0.602,SINGLE_BALL,0.602,4,0,1,0.0,0.0
338,1,0,0,1,0.602,SINGLE_BALL,0.602,4,0,1,0.0,0.0
339,1,0,0,1,0.602,SINGLE_BALL,0.602,4,0,1,0.0,0.0
340,1,0,0,1,0.602,SINGLE_BALL,0.602,4,0,1,0.0,0.0
