frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
255,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
256,1,0,0,1,0.429,SINGLE_BALL,0.429,4,0,0,0.0,0.0
257,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
258,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
259,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
260,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
261,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
262,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
263,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
264,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
265,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
266,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
267,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
268,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
269,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
270,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
271,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
272,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
273,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
274,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
275,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
276,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
277,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
278,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
279,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
280,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
281,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
282,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
283,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
284,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
285,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
286,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
287,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
288,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
289,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
290,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
291,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
292,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
293,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
294,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
295,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
296,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
297,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
298,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
299,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
300,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
301,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
302,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
303,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
304,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
305,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
306,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
