frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
276,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
277,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
278,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
279,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
280,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
281,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
282,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
283,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
284,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
285,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,0.333,3.33,29
286,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
287,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
288,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
289,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
290,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
291,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
292,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
293,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
294,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
295,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
296,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,0.333,3.33,29
297,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,0.333,3.33,29
