frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
375,1,0,0,1,0.602,SINGLE_BALL,0.602
376,1,0,0,1,0.602,SINGLE_BALL,0.602
377,1,0,0,1,0.602,SINGLE_BALL,0.602
378,1,0,0,1,0.602,SINGLE_BALL,0.602
379,1,0,0,1,0.602,SINGLE_BALL,0.602
380,1,0,0,1,0.602,SINGLE_BALL,0.602
381,1,0,0,1,0.602,SINGLE_BALL,0.602
382,1,0,0,1,0.602,SINGLE_BALL,0.602
391,1,0,0,1,0.602,SINGLE_BALL,0.602
392,1,0,0,1,0.602,SINGLE_BALL,0.602
393,1,0,0,1,0.602,SINGLE_BALL,0.602
394,1,0,0,1,0.602,SINGLE_BALL,0.602
395,1,0,0,1,0.602,SINGLE_BALL,0.602
396,1,0,0,1,0.602,SINGLE_BALL,0.602
397,1,0,0,1,0.602,SINGLE_BALL,0.602
398,1,0,0,1,0.602,SINGLE_BALL,0.602
399,2,0,0,2,0.735,TWO_BALL,0.735
400,2,0,0,2,0.735,TWO_BALL,0.735
401,2,0,0,2,0.735,TWO_BALL,0.735
402,2,0,0,2,0.735,TWO_BALL,0.735
403,2,0,0,2,0.735,TWO_BALL,0.735
404,2,0,0,2,0.735,TWO_BALL,0.735
405,2,0,0,2,0.735,TWO_BALL,0.735
406,2,0,0,2,0.735,TWO_BALL,0.735
407,2,0,0,2,0.735,TWO_BALL,0.735
408,2,0,0,2,0.735,TWO_BALL,0.735
409,2,0,0,2,0.735,TWO_BALL,0.735
410,2,0,0,2,0.735,TWO_BALL,0.735
411,3,0,0,3,0.792,FOUNTAIN_3+,0.792
412,3,0,0,3,0.792,FOUNTAIN_3+,0.792
413,3,0,0,3,0.792,FOUNTAIN_3+,0.792
414,3,0,0,3,0.792,FOUNTAIN_3+,0.792
415,3,0,0,3,0.792,FOUNTAIN_3+,0.792
416,3,0,0,3,0.792,FOUNTAIN_3+,0.792
417,3,0,0,3,0.792,FOUNTAIN_3+,0.792
418,3,0,0,3,0.792,FOUNTAIN_3+,0.792
419,3,0,0,3,0.792,FOUNTAIN_3+,0.792
420,3,0,0,3,0.792,FOUNTAIN_3+,0.792
